ip;city;region;country;loc;org;timezone;hostname;postal;error
61.244.93.89;Hong Kong;Hong Kong;HK;22.2783,114.1747;AS10103 HK Broadband Network Ltd.;Asia/Hong_Kong;061244093089.ctinets.com;999077;
187.44.158.46;Salvador;Bahia;BR;-12.9756,-38.4910;AS28186 ITS TELECOMUNICACOES LTDA;America/Bahia;187-44-158-46.static.itsweb.com.br;40000-000;
177.103.152.86;Campinas;São Paulo;BR;-22.9056,-47.0608;AS27699 TELEFÔNICA BRASIL S.A;America/Sao_Paulo;177-103-152-86.dsl.telesp.net.br;13000-000;
186.227.13.6;Resende;Rio de Janeiro;BR;-22.4689,-44.4467;AS262765 Net Fácil Sistemas Eletrônicos Ltda ME;America/Sao_Paulo;186-227-13-6.velloznet.com.br;27500-000;
42.200.198.140;Hong Kong;Hong Kong;HK;22.2783,114.1747;AS4760 HKT Limited;Asia/Hong_Kong;42-200-198-140.static.imsbiz.com;999077;
190.167.212.129;Santo Domingo;Nacional;DO;18.4719,-69.8923;AS6400 Compañía Dominicana de Teléfonos S. A.;America/Santo_Domingo;129.212.167.190.l.sta.codetel.net.do;10201;
152.0.251.7;Santiago de los Caballeros;Santiago Province;DO;19.4517,-70.6970;AS6400 Compañía Dominicana de Teléfonos S. A.;America/Santo_Domingo;7.251.0.152.l.static.claro.net.do;11403;
2.139.220.138;Madrid;Madrid;ES;40.4165,-3.7026;AS3352 TELEFONICA DE ESPANA S.A.U.;Europe/Madrid;138.red-2-139-220.staticip.rima-tde.net;28004;
103.247.141.30;Hong Kong;Hong Kong;HK;22.2783,114.1747;AS9381 HKBN Enterprise Solutions HK Limited;Asia/Hong_Kong;;999077;
187.33.21.165;São Paulo;São Paulo;BR;-23.5475,-46.6361;AS15830 Equinix (EMEA) Acquisition Enterprises B.V.;America/Sao_Paulo;;01000-000;
82.130.171.92;Arrasate / Mondragón;Basque Country;ES;43.0644,-2.4898;AS12338 Euskaltel S.A.;Europe/Madrid;92.82-130-171.dynamic.clientes.euskaltel.es;20500;
179.51.74.41;Punta Cana;La Altagracia Province;DO;18.5818,-68.4043;AS52471 COLUMBUS NETWORKS DOMINICANA, S.A.;America/Santo_Domingo;;;
